zip,file,title,type,file_count,fullCaseName_count
104440.zip,content/104440/000753c5-a58e-488a-86a7-ec312fd47962,US Cases/Judicial Panel on Multidistrict Litigation Cases [PCSI-104440],states,5676,48653
10617.zip,content/10617/000c3c8b-8283-4e9c-9caf-7b5cd76b79ce,US Cases/TX Supreme Court Cases from 1840 [PCSI-10617],states,6313,350614
10618.zip,content/10618/0002f157-424d-4e8c-b3d0-b5ec9b80bd11,US Cases/TX Court of Appeals and Court of Civil Appeals Cases from 1892 [PCSI-10618],states,47659,1513522
10619.zip,content/10619/000893b0-40d9-442a-b247-f4c3328f9c72,US Cases/TX Court of Criminal Appeals Cases from 1879 [PCSI-10619],states,7329,998546
10645.zip,content/10645/000a2dea-491c-4ef4-b3ec-5ffe1e65fb26,US Cases/TN Court of Appeals Cases from 1925 [PCSI-10645],states,12514,252560
10646.zip,content/10646/000055fc-fb54-4eff-8637-e0125de47ca2,US Cases/TN Court of Criminal Appeals Cases from 1967 [PCSI-10646],states,16367,233685
10647.zip,content/10647/000165fd-0aa9-431d-bf31-934d7f7efdd2,US Cases/TN Supreme Court Cases from 1791 [PCSI-10647],states,6436,454459
10774.zip,content/10774/001e2e8e-a2fc-4892-9ec5-02f093cf8c97,Cases/UT Supreme Court Cases from 1861 [PCSI-10774],states,3253,171615
10775.zip,content/10775/0000ab90-a2a5-40df-b7d2-7b7bc5ecc02f,Cases/UT Court of Appeals Cases from 1987 [PCSI-10775],states,4941,79371
10810.zip,content/10810/000c9bbe-2764-4ae1-9500-162085b90f9a,US Cases/VA Supreme Court Cases from 1730 [PCSI-10810],states,3240,213852
10812.zip,content/10812/0002757a-d046-4244-b084-b01bb64393d6,US Cases/VA Court of Appeals Cases from 1985 [PCSI-10812],states,5041,127111
10840.zip,content/10840/001a9486-035f-4aa2-a4ba-97a1c1db681c,Cases/WA Supreme Court Cases from 1854 [PCSI-10840],states,7735,592316
10841.zip,content/10841/0000d30f-6250-42c9-9d90-c94963e397b9,US Cases/WA Court of Appeals Cases from 1969 [PCSI-10841],states,15931,819096
10983.zip,content/10983/00137228-e1b9-47b1-a7e2-242a70907322,US Cases/WI Supreme Court Cases from 1839 [PCSI-10983],states,4795,646875
10984.zip,content/10984/00004e24-fc63-4312-a5bc-fec307f11333,US Cases/WI Court of Appeals Cases from 1978 [PCSI-10984],states,12972,429460
11009.zip,content/11009/001ecf4c-bcf1-4b01-b5f4-9bd2174722bc,US Cases/WY Supreme Court Cases from 1870 [PCSI-11009],states,4388,102162
11031.zip,content/11031/000b7be0-348c-4803-9758-ea46403ff496,US Cases/NE Court of Appeals Cases from 1992 [PCSI-11031],states,3902,61632
138865.zip,content/138865/006917fc-7b75-4068-9d86-127e2419ff23,US Cases/MN Tax Court Decisions [PCSI-138865],states,1328,55850
144753.zip,content/144753/00091a4e-c0fc-49f3-99fd-bee3cabd878d,Cases/SD Supreme Court Cases from 1867 [PCSI-144753],states,2399,168836
144757.zip,content/144757/00056da2-1205-4577-9ff5-94a3ad87c0f9,US Cases/WV Supreme Court Cases from 1864 [PCSI-144757],states,6988,294434
144909.zip,content/144909/000400b0-e2ee-49d3-be81-a6e06fc4790c,"US Cases/NV Supreme Court Cases, Published from 1865 [PCSI-144909]",states,6711,474552
